Letting A=Monedi, B=Twosdi, ..., G=Svendi,
each row of the following giving 
['ringsOnPlanting','ringsOnInundation','ringsOnHarvest'] ['Current day (heaviest stone)'] dayOfHarvest

All of this is pre-harvest (as stone G isn't on the harvest peg yet):

['GFEDCBA', '', ''] ['A'] 0
['GFEDCB', '', 'A'] ['B'] 0
['GFEDC', 'B', 'A'] ['C'] 0
['GFEDC', 'BA', ''] ['C'] 0
['GFED', 'BA', 'C'] ['D'] 0
['GFEDA', 'B', 'C'] ['C'] 0
['GFEDA', '', 'CB'] ['B'] 0
['GFED', '', 'CBA'] ['D'] 0
['GFE', 'D', 'CBA'] ['E'] 0
['GFE', 'DA', 'CB'] ['E'] 0
['GFEB', 'DA', 'C'] ['C'] 0
['GFEBA', 'D', 'C'] ['D'] 0
['GFEBA', 'DC', ''] ['C'] 0
['GFEB', 'DC', 'A'] ['C'] 0
['GFE', 'DCB', 'A'] ['E'] 0
['GFE', 'DCBA', ''] ['E'] 0
['GF', 'DCBA', 'E'] ['F'] 0
['GFA', 'DCB', 'E'] ['E'] 0
['GFA', 'DC', 'EB'] ['C'] 0
['GF', 'DC', 'EBA'] ['F'] 0
['GFC', 'D', 'EBA'] ['D'] 0
['GFC', 'DA', 'EB'] ['C'] 0
['GFCB', 'DA', 'E'] ['E'] 0
['GFCBA', 'D', 'E'] ['E'] 0
['GFCBA', '', 'ED'] ['D'] 0
['GFCB', '', 'EDA'] ['B'] 0
['GFC', 'B', 'EDA'] ['C'] 0
['GFC', 'BA', 'ED'] ['D'] 0
['GF', 'BA', 'EDC'] ['F'] 0
['GFA', 'B', 'EDC'] ['C'] 0
['GFA', '', 'EDCB'] ['B'] 0
['GF', '', 'EDCBA'] ['F'] 0
['G', 'F', 'EDCBA'] ['G'] 0
['G', 'FA', 'EDCB'] ['G'] 0
['GB', 'FA', 'EDC'] ['C'] 0
['GBA', 'F', 'EDC'] ['F'] 0
['GBA', 'FC', 'ED'] ['D'] 0
['GB', 'FC', 'EDA'] ['C'] 0
['G', 'FCB', 'EDA'] ['G'] 0
['G', 'FCBA', 'ED'] ['G'] 0
['GD', 'FCBA', 'E'] ['E'] 0
['GDA', 'FCB', 'E'] ['E'] 0
['GDA', 'FC', 'EB'] ['C'] 0
['GD', 'FC', 'EBA'] ['D'] 0
['GDC', 'F', 'EBA'] ['F'] 0
